id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
28925;En el centro :Cuartos privados en casa familial;124398;Laurence;Bordeaux;Centre ville (Bordeaux);44.8491011847719;-0.5935012242723988;Private room;24;2;2;06/07/2018;0.16;2;76
40151;Sunny flat aux Chartrons;165163;Cédric;Bordeaux;Chartrons - Grand Parc - Jardin Public;44.856533426561086;-0.5746012864046564;Entire home/apt;71;3;30;29/07/2016;0.31;1;257
144343;Home between Bordeaux & vineyards;699468;Leslie;Bgles;Bgles;44.80881330008451;-0.5558702609217057;Entire home/apt;100;4;0;;;1;0
185534;L'Echoppe des Bouilles;890736;Carlos;Bordeaux;Saint Augustin - Tauzin - Alphonse Dupeux;44.8306341031865;-0.5933087399530386;Private room;75;1;0;;;1;365
218103;B&B (Website hidden by Airbnb) tropical garden;1127981;Luis;Bgles;Bgles;44.81417609000161;-0.548419476197276;Private room;100;2;24;06/08/2018;0.29;4;347
222887;Bordeaux Terrace - spectacular view, sleeps 2 - 4;1156398;Suzanna;Bordeaux;Bordeaux Sud;44.83635173637759;-0.5659027508260066;Entire home/apt;155;5;32;23/07/2018;0.39;4;189
317273;Bordeaux City Gardens - large 1 bd, park adjacent;1156398;Suzanna;Bordeaux;Chartrons - Grand Parc - Jardin Public;44.84734240789055;-0.5803402136516301;Entire home/apt;130;3;16;01/06/2018;0.32;4;212
317658;Key to Bordeaux - fairytale view, 2 bd + elevator;1156398;Suzanna;Bordeaux;Centre ville (Bordeaux);44.83814769920241;-0.569888689666604;Entire home/apt;150;3;46;05/07/2018;0.58;4;257
333031;STUDIO BORDEAUX TRIANGLE D OR *****;1697156;Antony;Bordeaux;Centre ville (Bordeaux);44.842669046284506;-0.5765635765843199;Entire home/apt;75;1;205;22/08/2018;2.61;1;343
333592;Charming apt with terrace center town;1699300;Alexandre;Bordeaux;Centre ville (Bordeaux);44.84701046034711;-0.5824931276190403;Entire home/apt;110;2;11;06/09/2018;0.15;2;33
344126;Cozy in the heart of Bordeaux;313083;Maryline;Bordeaux;Centre ville (Bordeaux);44.83933504495548;-0.5683479359619338;Entire home/apt;62;8;5;02/01/2014;0.07;1;14
365993;Modern&comfortable 3 rooms apart;1847986;Damien;Bordeaux;Bordeaux Sud;44.812673792117764;-0.5576173624977154;Entire home/apt;85;3;18;21/07/2018;0.23;2;308
400306;Bright and spacious apartment with a nice balcony;1998044;Faustine;Bordeaux;La Bastide;44.8438993629951;-0.5583147830426207;Entire home/apt;60;2;15;31/08/2018;0.60;1;27
408270;B&B Bedroom N°2  / tropical garden;1127981;Luis;Bgles;Bgles;44.81412124898344;-0.5464109237591954;Private room;85;2;54;26/08/2018;0.71;4;351
410267;B&B Apart. N°3 / Tropical Garden;1127981;Luis;Bgles;Bgles;44.814944147543464;-0.547992879978767;Private room;85;2;26;15/08/2018;0.34;4;351
412475;B&B Apart n°4 / Tropical Garden;1127981;Luis;Bgles;Bgles;44.81427545135814;-0.5487534518621813;Private room;85;2;32;26/08/2018;0.43;4;349
426806;Charming apartment on the waterfron;2122221;Julien;Bordeaux;Centre ville (Bordeaux);44.83894178009921;-0.5691012599561677;Entire home/apt;60;25;12;24/07/2016;0.16;1;212
437127;Om Sweet Home B&B  chambre double;2171100;Christophe;Bordeaux;Chartrons - Grand Parc - Jardin Public;44.85636121552148;-0.5851796491261053;Private room;45;2;266;19/08/2018;3.52;2;326
438600;Om Sweet Home B&B  chambre Single;2171100;Christophe;Bordeaux;Chartrons - Grand Parc - Jardin Public;44.85575230209435;-0.5823985034864194;Private room;30;2;144;23/08/2018;1.88;2;326
450324;House with garden, near Bordeaux;1727412;Anne-Laure;Cenon;Plaisance-Loret-Maregue;44.86238039708852;-0.506984448186294;Entire home/apt;78;3;13;23/08/2016;0.17;1;0
457462;BORDEAUX, swimming-pool, tennis !;2273643;Nadine;Talence;Talence;44.809346331710465;-0.5999145679058785;Entire home/apt;75;4;15;08/08/2018;0.20;1;78
457640;Appartement piscine tennis Bordeaux;2274580;Christine;Talence;Talence;44.80907137931777;-0.6003397451250333;Entire home/apt;80;2;51;19/08/2018;0.69;1;288
458580;Charm and authenticity;2280426;Romain Et Pascale;Bordeaux;Bordeaux Sud;44.834237842866216;-0.570217905888949;Entire home/apt;64;4;156;23/08/2018;2.03;3;198
478369;Charming house center Bordeaux;2368861;Maia And Johann;Bordeaux;Saint Augustin - Tauzin - Alphonse Dupeux;44.82968185672968;-0.5953412130528956;Entire home/apt;114;5;9;02/08/2018;0.14;1;8
482102;Beautiful city house full comfort;2387430;Frederic;Le Bouscat;Le Bouscat;44.85446380305268;-0.5956231909398586;Entire home/apt;185;2;177;09/09/2018;2.36;1;302
500193;Bordeaux centre T3 60m2 avec jardin;2468244;Audrey;Bordeaux;Bordeaux Sud;44.831179137417756;-0.5627989309273166;Entire home/apt;75;2;137;06/09/2018;1.88;2;336
536436;Studio standing en centre ville;2635398;Jade;Bordeaux;Centre ville (Bordeaux);44.839112952153585;-0.5731146564111843;Entire home/apt;80;2;5;30/06/2016;0.08;1;0
543460;Une chambre à La Maison Cachée... ;2671260;Claire;Bordeaux;Saint Augustin - Tauzin - Alphonse Dupeux;44.82767380210019;-0.5949747708720755;Private room;75;2;0;;;3;21
545440;Loft with its private swimming pool;2680968;Jeanne;Bordeaux;Chartrons - Grand Parc - Jardin Public;44.856574104734825;-0.5779609439451434;Entire home/apt;170;3;37;26/08/2018;0.50;1;288
548827;"B&B ""room Roxane"" Bordeaux downtown";675681;Frédérique;Bordeaux;Centre ville (Bordeaux);44.83977646566674;-0.5730139648790993;Private room;109;2;3;06/09/2013;0.05;2;108
555105;vue imprenable sur le fleuve;2683267;Sandrine;Bordeaux;Chartrons - Grand Parc - Jardin Public;44.853550407709065;-0.5681724262587337;Entire home/apt;150;2;20;18/06/2018;0.26;1;358
557526;Bordeaux, jardin, piscine, tennis !;2741181;Armelle Et Bruno;Talence;Talence;44.812160967621814;-0.5994884358631626;Entire home/apt;79;3;8;01/08/2016;0.16;1;0
558936;Coup de Foudre, déco singulière Love at first sigh;2747875;Patrice;Bordeaux;Chartrons - Grand Parc - Jardin Public;44.85384725789583;-0.5718636145637621;Entire home/apt;120;2;11;02/08/2018;0.49;2;178
568013;Family house in bordeaux center;1842076;Grégory;Bordeaux;Bordeaux Sud;44.83370024623505;-0.5680452413790731;Entire home/apt;90;2;19;16/07/2017;0.27;2;0
582745;Villa Caramac - Bordeaux;2870240;Pierre;Le Bouscat;Le Bouscat;44.86429174731442;-0.6053587214509406;Entire home/apt;102;2;68;09/09/2018;0.93;1;313
599263;Bordeaux centre historique;2964570;Vincent;Bordeaux;Centre ville (Bordeaux);44.8382752017822;-0.576195165406616;Entire home/apt;120;3;26;10/09/2018;1.11;1;5
600316;Apartment with balcony overlooking ;2969641;Asmaa  & David;Bordeaux;Chartrons - Grand Parc - Jardin Public;44.854433427886505;-0.5672154773440811;Entire home/apt;90;2;112;01/09/2018;1.53;2;327
630844;Cosy flat in the heart of Bordeaux;1753896;Helga;Bordeaux;Centre ville (Bordeaux);44.83838238941598;-0.5703774615478173;Entire home/apt;65;3;17;22/12/2016;0.23;1;257
648539;Location au mois avec bail, Bordeaux centre;3253952;Jean Paul +  Sarah;Bordeaux;Bordeaux Sud;44.8310342016837;-0.5665195811105653;Entire home/apt;25;30;43;30/05/2018;0.59;1;111
656926;Comfortable room in Artist's House;3309367;Alice;Bordeaux;Bordeaux Sud;44.83421278884023;-0.5620545294703494;Private room;50;2;3;13/09/2018;0.22;2;1
662889;FAVORITE IN BORDEAUX!!!! QUIET 48m2 ***;3338315;Loic;Bordeaux;Centre ville (Bordeaux);44.838913468002396;-0.5712664812436916;Entire home/apt;70;1;282;12/09/2018;4.15;3;0
667763;Charme au coeur du Vieux Bordeaux;3378979;Xavier;Bordeaux;Centre ville (Bordeaux);44.837031536996875;-0.567952030981252;Entire home/apt;69;3;147;30/08/2018;2.02;2;1
670292;Appartement meublé 55m2 + terrasse;3396304;Françoise;Bordeaux;Saint Augustin - Tauzin - Alphonse Dupeux;44.82984169980857;-0.5889296611217957;Entire home/apt;60;3;4;25/05/2018;0.10;1;77
675853;Architect House, Bordeaux;3309367;Alice;Bordeaux;Bordeaux Sud;44.83266470443664;-0.5626359600908742;Entire home/apt;80;3;14;11/09/2017;0.19;2;0
709326;Chambre ds maison 1x1.40m ou 2x90m;3649476;Marc;Bordeaux;Caudran;44.83948463925339;-0.6187396755637967;Private room;60;1;1;21/09/2016;0.04;2;318
717608;BORDEAUX STONE HOUSE WITH GARDEN IN;1229567;Sophie;Bordeaux;La Bastide;44.841725236965495;-0.5490061720883288;Entire home/apt;139;3;50;20/08/2018;0.70;1;198
721698;Beautiful house Bordeaux downtown;3725919;Patrick;Bordeaux;Centre ville (Bordeaux);44.851261140029244;-0.5901546971396132;Entire home/apt;200;2;42;09/09/2018;0.64;1;338
724856;Room quiet - Bordeaux down town;3746923;Elisabeth;Bordeaux;Saint Augustin - Tauzin - Alphonse Dupeux;44.8327651777797;-0.597622712069901;Private room;45;2;68;14/09/2018;1.02;2;147
740537;Comfy and quiet flat in the center;3875106;Michele;Bordeaux;Chartrons - Grand Parc - Jardin Public;44.854300264877345;-0.579040453863105;Entire home/apt;85;2;146;02/09/2018;2.28;1;348
749334;T2 60m2. Bordeaux, 600€/mois;3937898;Annececile;Bordeaux;Bordeaux Sud;44.83392603089052;-0.5664321804132578;Entire home/apt;25;14;0;;;1;0
752422;T2 62m2 Center of Bordeaux , Tourny;3957077;Vanessa;Bordeaux;Centre ville (Bordeaux);44.84654506027127;-0.5804155517514225;Entire home/apt;50;5;7;16/07/2015;0.14;1;0
765240;BORDEAUX TRIANGLE D'OR LUXUEUX T3;4034501;Arielle & Stéphane;Bordeaux;Centre ville (Bordeaux);44.84239751187221;-0.5777770779813761;Entire home/apt;190;4;8;10/05/2018;0.12;1;286
767446;Nice house in Bordeaux.Your welcome;4047684;Alexandra;Bordeaux;Centre ville (Bordeaux);44.83840961861696;-0.5951603123614226;Private room;35;2;98;03/09/2018;1.54;1;257
769465;spacious apartment for rent/center;5113919;Gilles;Bordeaux;Bordeaux Sud;44.83151928026218;-0.5649694331406185;Entire home/apt;74;2;57;24/02/2016;0.85;1;0
777417;Blue Lodge B&B | protected area | (Phone number hidden by Airbnb) E;4041434;Valérie;Bordeaux;Nansouty - Saint Gens;44.82579200505576;-0.583522073317688;Private room;89;2;7;26/06/2018;0.30;1;248
779477;CENTRE 3 CHAMBRES/6PERS MAX/TRES CALME;4085017;Richard Et Marie-Anne;Bordeaux;Centre ville (Bordeaux);44.847169060942555;-0.5894069408379113;Entire home/apt;60;2;240;11/09/2018;3.54;1;216
783449;Independent Room on garden !;4057188;Virginie;Bordeaux;Saint Augustin - Tauzin - Alphonse Dupeux;44.82960448678776;-0.5993032544038581;Private room;49;1;405;06/09/2018;5.77;3;330
792947;Private room (1st floor);4178213;David Et Sandrine;Pessac;Magonty;44.79283470439103;-0.7051531890547859;Private room;89;1;83;09/04/2018;1.55;2;351
793565;Appartement familial à Bordeaux;4180716;Stéphanie;Bordeaux;Chartrons - Grand Parc - Jardin Public;44.85434835174391;-0.5775474381607475;Entire home/apt;100;3;0;;;1;0
793746;Chamber of hotes Bordeaux centers;4181425;Christine;Bordeaux;Bordeaux Sud;44.82762321691618;-0.571174222785866;Entire home/apt;70;2;166;11/09/2018;2.39;2;342
801440;Studio in full center of Bordeaux;4181425;Christine;Bordeaux;Bordeaux Sud;44.82946256907577;-0.5725147903481949;Entire home/apt;70;2;320;14/09/2018;4.70;2;327
805226;Chambre Centre de Bordeaux #2;4236484;Sophie;Bordeaux;Centre ville (Bordeaux);44.8461411797752;-0.5805385699749763;Private room;42;2;20;31/05/2018;0.29;1;357
806398;Jeune couple propose chambre ;4245207;Laura Et Arthur;Bordeaux;Caudran;44.83828593280505;-0.607642584052054;Private room;42;1;4;28/09/2013;0.06;1;365
806933;La Maison du Bassin à Flots;4247258;Géraldine;Bordeaux;Bordeaux Maritime;44.86102529108943;-0.565614868131867;Entire home/apt;104;2;47;13/09/2018;0.71;3;332
807575;ROOM RENTAL APARTMENT BORDEAUX;4249442;Julien;Bordeaux;Saint Augustin - Tauzin - Alphonse Dupeux;44.83210811812237;-0.5773560523621384;Entire home/apt;89;3;8;27/08/2018;0.24;1;117
807733;Atypical bedroom - old hyper center;4250048;Julie Et Alexis;Bordeaux;Centre ville (Bordeaux);44.8386445273092;-0.5638304049431185;Private room;45;2;269;08/09/2018;3.99;1;141
813125;LA BORDELAISE New Bed & Breakfast;4273204;Alain;Cenon;Palmer-Gravires-Cavailles;44.8613536259741;-0.5166656777421719;Private room;58;3;0;;;2;356
819795;Appartement avec vue sur Garonne;4305727;Stéphane+Vanessa;Bordeaux;Chartrons - Grand Parc - Jardin Public;44.85183851217426;-0.5683029930504164;Entire home/apt;89;2;0;;;1;0
823341;"""The cherub"" - Historical center";4322810;Alexandre;Bordeaux;Bordeaux Sud;44.83134475890948;-0.571832913005304;Entire home/apt;90;4;15;28/10/2014;0.23;1;0
825254;B and B with private room, in Cenon;4273204;Alain;Cenon;Palmer-Gravires-Cavailles;44.86122629730335;-0.5178737049575763;Private room;58;2;0;;;2;363
835418;Appartement quartier calme et centre de Bordeaux;4368940;Hélène;Bordeaux;Chartrons - Grand Parc - Jardin Public;44.85238882817274;-0.5868841817383273;Entire home/apt;53;7;1;19/08/2017;0.08;1;0
837713;  Near Bordeaux, in a house...;1909665;Gisèle Et Guy;Carbon-Blanc;Carbon-Blanc;44.90227709393845;-0.5012602925200758;Private room;27;5;20;05/09/2018;0.31;2;353
840605;House close to downtown Bordeaux;4390103;Véronique;Bordeaux;Nansouty - Saint Gens;44.81889139441302;-0.5775628263096143;Entire home/apt;160;1;6;15/07/2018;0.11;2;9
845788;Lovely apartment in the center;4310833;Jean-Christophe;Bordeaux;Centre ville (Bordeaux);44.83650241364023;-0.5744972360557119;Entire home/apt;105;2;42;06/09/2018;0.63;17;67
845815;Beautiful Apartment with Terrace ;4310833;Jean-Christophe;Bordeaux;Chartrons - Grand Parc - Jardin Public;44.85056619973326;-0.5758327557516884;Entire home/apt;95;2;19;20/08/2018;0.30;17;136
848271;Nice little studio apartment with mezzanine;29102137;L.C.B;Bordeaux;Centre ville (Bordeaux);44.84303407593729;-0.5823531354133221;Entire home/apt;65;3;2;28/03/2018;0.20;24;98
856891;Maison d'architecte de caractère;1924713;Jean-François;Bordeaux;Caudran;44.85952227689207;-0.6122617309327884;Entire home/apt;300;2;25;13/09/2018;0.76;1;355
858946;Loft in the heart of Bordeaux;4496051;Anne;Bordeaux;Centre ville (Bordeaux);44.84203866822224;-0.5730033684500593;Entire home/apt;60;30;22;19/01/2018;0.34;3;266
863828;Center B&B with terrace and parking;4245270;Anne & Philippe;Bordeaux;Bordeaux Sud;44.822763027639766;-0.5501350557214865;Private room;50;2;152;06/08/2018;2.30;1;222
864393;Bedroom in Bordeaux family home   ;4216040;Jean;Bordeaux;Caudran;44.85007417593979;-0.5984325471518773;Private room;170;7;0;;;3;90
865244;Bungalow Independ quiet and sunny ;4543023;Jean Guillaume;Merignac;Arlac;44.8276523969788;-0.6189611704047696;Entire home/apt;59;2;57;26/08/2018;0.86;1;313
867488;El Patio, Jacuzzi in city center;4561878;Béatrice & Sébastien;Bordeaux;Bordeaux Sud;44.83239922479071;-0.5743051997774691;Entire home/apt;280;2;58;10/08/2018;0.90;9;302
871614;Chambre dans immeuble face à la  Garonne;1645774;Anne-Marie;Bordeaux;Chartrons - Grand Parc - Jardin Public;44.85140980431951;-0.5699252696031966;Private room;50;2;0;;;1;88
872870;Esprit Zen, Turkish bath pleasure;4561878;Béatrice & Sébastien;Bordeaux;Bordeaux Sud;44.833501261390204;-0.574063282678484;Entire home/apt;350;2;32;04/09/2018;0.51;9;328
872948;Dolce Vita, A soft life in Bordeaux;4561878;Béatrice & Sébastien;Bordeaux;Bordeaux Sud;44.83195696386671;-0.5755958808178915;Entire home/apt;76;2;11;01/07/2018;0.18;9;287
872979;Duo, small but smart flat for 2;4561878;Béatrice & Sébastien;Bordeaux;Bordeaux Sud;44.83386720750025;-0.5753008112666587;Entire home/apt;80;2;12;05/09/2018;0.20;9;235
878032;bed and breakfast;4639813;Isabelle;Pessac;France Alouette;44.78298113146561;-0.6852153159206968;Private room;75;1;1;01/08/2015;0.03;4;246
878623;CITY CENTRE BRIGHT HOUSE 130M+AC QUIET GARDEN;4643232;Claire;Bordeaux;Caudran;44.85643372867229;-0.6050826375500586;Entire home/apt;200;1;123;06/09/2018;1.85;1;118
880024;20 accommodated in the same place;4561878;Béatrice & Sébastien;Bordeaux;Bordeaux Sud;44.831856421592825;-0.5745358403691644;Entire home/apt;890;2;23;15/04/2018;0.36;9;346
880178;"Gite ""Carlito"" (for 2 people).";4561878;Béatrice & Sébastien;Gradignan;Gradignan;44.75579972316434;-0.6225071123642261;Entire home/apt;80;3;10;31/07/2016;0.15;9;350
881350;"Gite ""Carlito & Co"" Lovely Vacation";4561878;Béatrice & Sébastien;Gradignan;Gradignan;44.755525966849675;-0.6234534500067217;Entire home/apt;200;2;1;15/07/2018;0.48;9;106
881775;Vacation Sebea' s House with Pool ;4561878;Béatrice & Sébastien;Gradignan;Gradignan;44.75584212749609;-0.6239844224928651;Entire home/apt;495;2;1;13/05/2013;0.02;9;0
881940;"""Katalpa"" for +12 with Pool & Spa";4561878;Béatrice & Sébastien;Gradignan;Gradignan;44.75432110420991;-0.6231478535307384;Entire home/apt;495;2;15;24/06/2018;0.25;9;340
883986;Appartement dans centre ville;4681520;Christine;Bordeaux;Centre ville (Bordeaux);44.84010747438496;-0.5840497476361862;Entire home/apt;55;2;0;;;1;0
884891;THE LITTLE HOUSE BORDELAISE;4676397;Malory;Bordeaux;Nansouty - Saint Gens;44.82129747573275;-0.57497592456803;Entire home/apt;69;3;150;02/09/2018;2.45;1;234
888556;CHAMBRE COSY AU CALME 1;992322;Francoise;Bordeaux;Caudran;44.84738078036473;-0.6044624228508315;Private room;60;3;2;05/09/2015;0.04;2;353
903011;Chambres doubles confort Bordeaux;4815154;Rémi;Bordeaux;Centre ville (Bordeaux);44.8389042587199;-0.5804994923027704;Private room;140;3;0;;;2;365
909744;NEW QUIET SUNNY IN THE HEART OF BX;3338315;Loic;Bordeaux;Centre ville (Bordeaux);44.83944005449137;-0.5740133033226357;Entire home/apt;70;1;146;02/09/2018;2.52;3;2
909916;Studio avec cuisine à Bordeaux;4815154;Rémi;Bordeaux;Centre ville (Bordeaux);44.838877234502476;-0.5807255268617195;Private room;130;3;0;;;2;365
913857;Chambre à louer à la nuit, à la semaine;4904893;Nicolas;Ambars-et-Lagrave;Ambars-et-Lagrave;44.92076657186465;-0.503596808368538;Private room;25;1;0;;;1;365
918959;MY BED AND BREAKFAST IN BORDEAUX;4821971;Martine;Bordeaux;Saint Augustin - Tauzin - Alphonse Dupeux;44.82729209099493;-0.5913991715390533;Private room;85;1;0;;;1;342
920432;LUMINEUX ET AGREABLE APPARTEMENT;4394250;Beatrice;Bordeaux;Nansouty - Saint Gens;44.81728748802691;-0.5661712023047974;Entire home/apt;43;365;4;31/03/2018;0.18;1;365
921237;CHAMBRE DANS MAISON DE CHARME;4951342;Jean-Francois;Talence;Talence;44.82142495715072;-0.5923249904493437;Private room;38;1;8;14/10/2017;0.17;1;360
939481;Chambre avec jardin et petit dej;2468244;Audrey;Bordeaux;Bordeaux Sud;44.832474516039;-0.5634338094736118;Private room;40;1;162;09/09/2018;2.41;2;354
941005;A flat like a house. Quiet&bright.;5086197;Dominique;Bordeaux;Centre ville (Bordeaux);44.83983938589092;-0.5928213198265485;Entire home/apt;80;7;33;01/09/2018;0.50;1;66
943643;Lovely house with garden in center of Bordeaux;5105947;Mathieu;Le Bouscat;Le Bouscat;44.86333454247846;-0.6185039814070193;Entire home/apt;78;3;38;31/08/2018;0.60;2;93
945340;studio idéalement situé;2280426;Romain Et Pascale;Bordeaux;Centre ville (Bordeaux);44.83716902039594;-0.5682608611206491;Entire home/apt;50;4;159;13/09/2018;2.48;3;273
953240;B&B Marine's room Bordeaux City Center;675681;Frédérique;Bordeaux;Centre ville (Bordeaux);44.840180632031974;-0.5714733736408741;Private room;109;2;6;11/10/2014;0.09;2;121
956104;Chambre avec Piscine Proche Bordeaux;5195865;Stéphanie;Blanquefort;Blanquefort;44.922199849813765;-0.6441897570068258;Private room;58;1;21;20/08/2018;0.34;1;365
956277;chambre lumineuse au calme 2;992322;Francoise;Bordeaux;Caudran;44.84852442150502;-0.6052420160134332;Private room;60;1;7;15/06/2018;0.11;2;365
956360;Chambre dans maison avec piscine sur Eysines;4241301;Jean Claude;Eysines;Eysines;44.89042522747763;-0.6421574024320111;Private room;55;2;1;22/06/2013;0.02;2;364
963831;Chambre Gingembre;4120980;Yolande;Bgles;Bgles;44.80853080652803;-0.5661304167651453;Private room;75;2;0;;;3;365
963875;Chambre Piment;4120980;Yolande;Bgles;Bgles;44.80897326889105;-0.5668848151984294;Private room;95;2;0;;;3;365
964117;Chambre Safran familiale;4120980;Yolande;Bgles;Bgles;44.80750534993474;-0.5664483902751899;Private room;115;2;0;;;3;365
965115;Appartement Bordeaux;5261989;Alfred;Bordeaux;Bordeaux Sud;44.825215828782916;-0.551670608888631;Entire home/apt;70;2;6;29/04/2016;0.09;1;226
989881;Cosy and quiet house with garden;5434457;Laetitia;Cenon;Plaisance-Loret-Maregue;44.86159471472792;-0.5075899065075768;Entire home/apt;69;2;28;17/08/2018;0.43;1;168
994398;Very Luminous for 4 pers.;4310833;Jean-Christophe;Bordeaux;Centre ville (Bordeaux);44.83580576053678;-0.5733044283883555;Entire home/apt;190;3;5;09/05/2018;0.08;17;94
1000233;1 nice bed & breakfast close to Bordeaux;5499035;Isabelle;Pessac;France Alouette;44.8000997402923;-0.6772802532546317;Private room;70;2;2;26/06/2016;0.05;2;263
1000268;Bordeaux Chartrons T3 60m2 neuf;5197668;Nicole;Bordeaux;Bordeaux Maritime;44.858375804053;-0.5662099228020753;Entire home/apt;100;3;19;31/07/2018;0.29;1;170
1005723;nice room in mansion;5531179;Florence;Bordeaux;Saint Augustin - Tauzin - Alphonse Dupeux;44.82704524035234;-0.5942541576564141;Private room;45;2;42;31/08/2018;0.64;3;15
1007407;TERRASSES SAINT PIERRE;5541484;Thierry D;Bordeaux;Centre ville (Bordeaux);44.84067119722931;-0.5716099441156182;Entire home/apt;160;3;115;09/09/2018;1.82;1;288
1014935;NEAR BORDEAUX HOUSE WITH MANY CHARM;5003112;Martine;Eysines;Eysines;44.880790916930636;-0.6312501369199371;Entire home/apt;54;5;1;25/08/2017;0.08;2;226
1025361;Welcome to our place !;5113450;Lila;Merignac;La Glacire;44.83604626385888;-0.6232825594175143;Private room;30;1;63;10/09/2018;1.71;1;285
1027726;apartment in my garden with kitchen;4245884;Josselin;Eysines;Eysines;44.8890268125218;-0.6425516062368408;Entire home/apt;49;25;65;31/08/2018;1.00;1;166
1043978;Bright flat in Historical center;5748061;Marion;Bordeaux;Bordeaux Sud;44.832741649910986;-0.5723382683473566;Entire home/apt;60;4;88;15/10/2017;1.35;1;43
1050632;"""Romarine""Outdoor Bed & breakfast";5783739;Martine;Le Bouscat;Le Bouscat;44.859173320905626;-0.603854503067782;Entire home/apt;95;2;27;11/08/2017;0.42;1;364
1050804;Très belle échoppe proche bordeaux;5783453;Catherine;Bordeaux;Nansouty - Saint Gens;44.813660942041984;-0.5674510411524852;Entire home/apt;80;2;33;10/09/2018;0.51;1;344
1058417;Ambiance Simple et Familiale_DT;5828455;D.;Bordeaux;Chartrons - Grand Parc - Jardin Public;44.86285784839449;-0.5773898555843625;Private room;29;1;97;22/08/2018;2.38;5;259
1065379;charming appartment down town;5862003;Laurent;Bordeaux;Centre ville (Bordeaux);44.83608392197323;-0.5747025612315031;Entire home/apt;70;4;8;31/07/2018;0.16;1;273
1083031;Historic Bordeaux, Charming 110m2;5954504;Nicole;Bordeaux;Centre ville (Bordeaux);44.84270725320428;-0.5737750594479796;Entire home/apt;118;7;21;22/07/2018;0.33;1;140
1086736;Grande maison pleine de charme 230;3973708;Alexandra;Bordeaux;Saint Augustin - Tauzin - Alphonse Dupeux;44.83043156692625;-0.5822303399143836;Entire home/apt;280;2;71;09/09/2018;1.69;3;326
1098462;Townhouse with pool and garden;6036342;Sébastien;Talence;Talence;44.81782578892269;-0.5798412914996166;Entire home/apt;320;2;3;19/08/2018;0.11;1;263
1108832;Beautiful pool house near BORDEAUX;6087321;Pierre;Saint-Mdard-en-Jalles;Saint-Mdard-en-Jalles;44.89248776680377;-0.7102346004161577;Entire home/apt;247;6;2;18/08/2018;1.54;2;365
1109000;Maison style colonial à Bordeaux;6088135;Veronique;Le Bouscat;Le Bouscat;44.86134982483381;-0.5931304562028076;Entire home/apt;190;3;8;13/07/2018;0.21;1;310
1109639;Loft 150m² avec piscine et climatisation BORDEAUX;6068524;Audrey;Bordeaux;Nansouty - Saint Gens;44.813853688075305;-0.5649596154044446;Entire home/apt;281;3;15;14/08/2018;0.24;1;365
1116630;Charme T3 Balcon coeur de bordeaux;6128626;Olivier;Bordeaux;Centre ville (Bordeaux);44.83699099906771;-0.5689223672167242;Entire home/apt;110;3;70;10/09/2018;1.08;1;249
1117474;INCROYABLE T3 EN HYPERCENTRE;6133211;Crystel;Bordeaux;Centre ville (Bordeaux);44.83883029184563;-0.5688584277454086;Entire home/apt;110;3;249;23/08/2018;3.82;2;317
1120880;Townhouse bordering Bordeaux;6149041;Virginie Et Robin;Lormont;Lormont;44.878157791322266;-0.5334088037584112;Entire home/apt;110;4;4;19/06/2016;0.06;1;14
1131701;Bordeaux chambre hôte vue piscine;6208425;Elisabeth;Bordeaux;Caudran;44.85656720232687;-0.6200066667074238;Private room;110;2;2;21/06/2013;0.03;1;362
1136724;House Garden Garage Maison jardin;3774373;Stéphane & Virginie;Bordeaux;Saint Augustin - Tauzin - Alphonse Dupeux;44.830041341206396;-0.5870832606608506;Entire home/apt;76;2;283;06/09/2018;4.43;3;315
1152740;Une chambre  - echoppe Bordeaux;6288665;Pascal;Bordeaux;La Bastide;44.84295178240006;-0.5496078993623145;Private room;45;2;27;27/04/2018;0.55;1;356
1153035;charming little house in Bordeaux;6165224;BerNath;Bordeaux;Saint Augustin - Tauzin - Alphonse Dupeux;44.830149284944945;-0.610344801834254;Entire home/apt;110;2;22;09/08/2018;0.52;1;347
1161946;CHAMBRE studio indépendante  SUR JARDIN salle eau;6364913;Christine;Lormont;Lormont;44.88214408244563;-0.49715583757468723;Private room;34;2;20;22/07/2018;0.31;1;47
1165770;Grande maison, jardin, 5 Chambres;6384904;Leila;Bordeaux;Chartrons - Grand Parc - Jardin Public;44.855074160404634;-0.5818640313871956;Entire home/apt;299;4;21;05/08/2018;0.74;1;254
1172803;PATIO STUDIO  CENTRE;1029070;Louis;Bordeaux;Bordeaux Sud;44.834024738476174;-0.5744961223807615;Entire home/apt;43;2;449;11/09/2018;7.03;5;276
1182098;Loft Saint Michel - Bordeaux;6466588;Christophe;Bordeaux;Bordeaux Sud;44.83297366517592;-0.5699914132944682;Entire home/apt;250;3;1;04/08/2017;0.07;1;59
1185900;Centre Bordeaux cabane de charme;6486165;Fabienne;Bordeaux;Chartrons - Grand Parc - Jardin Public;44.85516032032034;-0.5859629406136362;Entire home/apt;84;1;61;22/08/2018;1.14;1;348
1188231;Lovely Apartment City Center A/C;1029070;Louis;Bordeaux;Bordeaux Sud;44.833123463090374;-0.5738488534117475;Entire home/apt;66;2;286;13/09/2018;4.53;5;315
